abhor,anger
abhorr,anger
abhorr,disgust
abhorrence,anger
abhorrent,disgust
abomin,anger
abomin,disgust
abominably,disgust
abominate,anger
abomination,anger
admir,joy
admir,surprise
admirable,joy
admirably,joy
admiration,joy
admiration,surprise
admire,joy
ador,joy
adorably,joy
adoration,joy
adoring,joy
affect,joy
affection,joy
affectional,joy
affectionate,joy
affectionateness,joy
affective,joy
affright,fear
afraid,fear
aggrav,anger
aggravate,anger
aggravated,anger
aggravation,anger
aggress,anger
aggression,anger
aggressive,anger
aggressiveness,anger
aggriev,sadness
aggrieve,sadness
alarm,fear
alarmed,fear
alert,fear
amat,joy
amative,joy
amatori,joy
amatory,joy
amaz,surprise
amaze,surprise
amazed,surprise
amazement,surprise
amazing,surprise
amazingly,surprise
amic,joy
amicability,joy
amicable,joy
amicableness,joy
amicably,joy
amok,anger
amor,joy
amorous,joy
amorousness,joy
amuck,anger
anger,anger
angered,anger
angri,anger
angrili,anger
angrily,anger
angry,anger
animos,anger
animosity,anger
animus,anger
annoy,anger
annoyance,anger
annoyed,anger
annoying,anger
antagon,anger
antagonism,anger
anticip,joy
anticipate,joy
anticipation,joy
anxious,fear
anxiously,fear
appal,fear
appall,fear
appreci,joy
appreciated,joy
apprehens,fear
apprehension,fear
apprehensive,fear
apprehensively,fear
apprehensiveness,fear
approb,joy
approbative,joy
approbatori,joy
approbatory,joy
approv,joy
approval,joy
approve,joy
approved,joy
approving,joy
ardor,joy
ardour,joy
astoni,surprise
astonied,surprise
astonish,surprise
astonished,surprise
astonishing,surprise
astonishingly,surprise
astonishment,surprise
astound,surprise
astounded,surprise
astounding,surprise
atroci,fear
atrocious,fear
attach,joy
attachment,joy
attrit,sadness
attrition,sadness
avarici,anger
avaricious,anger
avid,joy
avidity,joy
avidness,joy
aw,fear
aw,surprise
awe,surprise
awed,surprise
awestricken,surprise
awestruck,surprise
awful,fear
awful,surprise
awfully,fear
bad,sadness
bad_blood,anger
bad_temp,anger
bad_temper,anger
baffl,anger
baffl,surprise
baffle,surprise
baffled,anger
balk,anger
balked,anger
bang,joy
banter,joy
barrack,joy
bash,fear
bashfully,fear
be_on_cloud_nin,joy
be_on_cloud_nine,joy
beam,joy
beaming,joy
beat,surprise
becharm,joy
bedevil,anger
begrudg,anger
begrudge,anger
begrudging,anger
beguil,joy
beguile,joy
beguiled,joy
belliger,anger
belligerence,anger
belligerency,anger
belligerent,anger
belligerently,anger
belong,joy
belonging,joy
benef,joy
benefic,joy
beneficed,joy
beneficence,joy
beneficent,joy
benefici,joy
beneficially,joy
benevol,joy
benevolence,joy
benevolent,joy
benevolently,joy
bereav,sadness
bereaved,sadness
bereft,sadness
besot,surprise
bewild,surprise
bewilder,surprise
bewitch,joy
bewitching,joy
bitter,anger
bitterness,anger
blith,joy
blithely,joy
blitheness,joy
blue,sadness
blue_devil,sadness
blue_devils,sadness
bode,fear
boding,fear
bonheur,joy
bore,sadness
bored,sadness
bother,anger
bothersom,anger
bothersome,anger
brokenhearted,sadness
brokenheartedness,sadness
brood,anger
brother,joy
brotherhood,joy
brotherlik,joy
brotherlike,joy
brotherly,joy
browbeaten,fear
bulli,fear
bullied,fear
buoyanc,joy
buoyancy,joy
calf_lov,joy
calf_love,joy
captiv,joy
captivate,joy
captivated,joy
captivating,joy
captivation,joy
captur,joy
capture,joy
care,joy
carefre,joy
carefree,joy
carefreeness,joy
caring,joy
cast_down,sadness
catch,joy
chafe,anger
chaff,joy
charg,joy
charge,joy
charit,joy
charitable,joy
charm,joy
charmed,joy
cheer,joy
cheer_up,joy
cheerful,joy
cheerfully,joy
cheerfulness,joy
cheeri,joy
cheering,joy
cheerless,sadness
cheerlessly,sadness
cheerlessness,sadness
cheery,joy
chill,fear
chilling,fear
chirk_up,joy
choler,anger
choleric,anger
churn_up,disgust
class_feel,anger
class_feeling,anger
cliff-hang,fear
